FILENAME, s1 SENS, s1 +PRED, s2 SENS, s2 +PRED
s20011,0.9999300370803474,0.9999800095953942,0.9997901112410422,0.9999700104963263
s20021,0.9999213156031159,0.9996291676499343,0.9979879275653923,0.997797257810744
s20031,0.9995799125122145,0.9998721099123953,0.9996986328891974,0.9999725954819084
s20041,0.9927815999414477,0.9999907847690663,0.9748133645612237,0.9999812299982168
s20051,0.9999645675917478,1.0,0.9999468513876217,0.9999734249875983
s20061,0.9999660801356794,1.0,0.9990926436294255,0.9975868521544753
s20071,0.9999766785606008,0.9999650182488136,0.9985773921966464,0.9823120512055794
s20081,0.9994954814611565,0.9998317705704749,0.9936448366510591,0.9996082097858511
s20091,0.9999910369367835,1.0,0.9993008810691142,0.9999910307466007
s20101,0.9957829703782509,0.974034278263268,0.9982311547483241,0.8073625610350297
s20111,0.9998592622998885,0.9999296261978208,0.9988975546824606,0.9986047602298042
s20121,0.9996843065266703,0.9998947466903682,0.9994855365619811,0.9995907246512389
s20131,0.9990216368767639,0.9995952522143469,0.999002822201317,0.9990968106124754
s20141,0.9999828582203404,1.0,0.9995200301695322,0.9998713914586781
s20151,0.9993850015688736,1.0,0.9962472544712896,0.9953477873775816
s20161,0.9965829529976822,0.9767441860465116,0.9809194962842601,0.9989536058014041
s20171,0.9983165515388142,0.999477761336931,0.9535431452823926,0.9262873419373662
s20181,0.9961020022808428,0.9969687046826028,0.9982426293256558,0.9997940306332622
s20191,0.9571349557522124,0.9324931145970542,0.9196472468043264,0.9931970531625407
s20201,0.9991254632311948,0.9999452966018249,0.9988849656197732,0.999978112654169
s20211,0.9998297616663329,0.9999499238843041,0.986981774484278,0.9229760734185513
s20221,0.9999496568273732,1.0,0.9993874913997081,0.9999916043992948
s20231,0.9859456838021339,0.9999704881263896,0.994199806013579,0.9989474710067245
s20241,0.9999891820551932,0.9999675468677318,0.9997728231590562,0.9998377202947
s20251,0.9956354442527198,0.992475946945308,0.9975362867134803,0.9997965374371116
s20261,0.999755646997879,0.9999804473643047,0.9988955244304132,0.9995794250838704
s20271,0.9983099972854879,0.9976460705128766,0.9994658540643252,0.9955777299013494
s20272,0.9995934856068498,0.9997374216500085,0.9996612380057082,0.999915287978517
s20273,0.9988175350894059,0.9969677487453581,0.9979330897904249,0.9958269378357636
s20274,0.9973071426801364,0.9971835871683901,0.9990913671620092,0.9997685548731599
s20281,0.999958946849855,0.9999452632155124,0.9967294323717774,0.9829554655870445
s20291,0.9937587318996697,0.993019675382287,0.9973755337067649,0.9960359890468118
