FILENAME, s1 SENS, s1 +PRED, s2 SENS, s2 +PRED
s20581,0.9981633013480897,0.995818406060962,0.9999175840348502,0.9999175840348502
s20591,0.998704863297727,0.6695929959291627,0.9955086085003743,0.9985578756674295
s20601,0.9883447491512959,0.9991096358151155,0.9976484270114501,0.9995973096859873
s20611,0.9951304067742017,0.9977775700299157,0.9988768997346941,0.9989446379981182
s20621,0.9837410673762337,0.9788628253150209,0.7141204424707882,0.9193868081254798
s20631,0.9996801151585429,0.9979144422380329,0.9911631812547483,0.9948128304688519
s20641,0.9992221934145709,0.9959826148243862,0.9998114408277747,0.9949454080615464
s20651,0.9989698066702611,0.7974621279081385,0.9802145112839867,0.941290137667693
s30661,0.9998338490934391,0.9878454172366621,0.9996884670501983,0.9993148836340233
s30671,0.997253634894992,0.9999291318653506,0.9986974959612278,0.9998786935293107
s30681,0.9993841343534595,0.9984381285940791,0.9968417146331257,0.992796873402691
s30691,0.7628020416392121,0.5096557569863788,0.9992132411514216,0.9998819071987404
s30701,0.9998599152020022,0.9999533007060933,0.9999159491212014,0.9999906603156813
s30711,0.9464835394167058,0.9998002190701231,0.9998826107372045,1.0
s30721,0.9763775835552722,0.6068768142129376,0.9912787426385086,0.9975181420981608
s30731,0.9991796863950517,0.9995189632242669,0.9996039865355422,0.9995380147835269
s30732,0.9984267453294002,0.9992231038554766,0.9996584381307251,0.9960090338149306
s30741,0.9983395566211192,1.0,0.999651711876625,0.9999918975198309
s30742,0.99974509304104,0.9999912079409877,0.9999296808389075,0.9999912095639943
s30751,0.9985103333836174,0.9994903737259343,0.9789372454367175,0.9979623613540686
s30752,0.9976610515315136,0.9998420667641974,0.9868786649746614,0.9999663834472095
s30761,0.9850739892689928,0.9967494575224988,0.9812634564779057,0.9995996414179656
s30771,0.9852445787916437,0.9751153592617007,0.998117146772892,0.9994356803898935
s30781,0.9537002552526638,0.6051575865169575,0.9634834267443022,0.9758132773975123
s30791,0.9992535976592822,0.9999502051547624,0.9994824943771023,0.9997809899255365
s30801,0.820043868479332,0.8575259285524333,0.9999894037489536,0.9999364258619594
